date,event,split,bin_count,raw_mass,max_candle_age,mean_spread,mos_forecast,market,candidate,raw,uniform,gain
2025-10-23,KXHIGHMIA-25OCT23,train,6,1.0450000000000002,180,0.04499999999999999,87.0,0.08871897010904817,0.07795695327972153,0.08784583333333333,0.13888888888888892,0.010762016829326634
2025-10-24,KXHIGHMIA-25OCT24,train,6,1.045,1740,0.03500000000000001,85.0,0.10318750333859882,0.11032920864048051,0.10282083333333335,0.13888888888888892,-0.007141705301881698
2025-10-25,KXHIGHMIA-25OCT25,train,6,1.035,1500,0.045000000000000005,85.0,0.12041510109142957,0.1191073517186061,0.12091250000000003,0.13888888888888892,0.0013077493728234635
2025-10-26,KXHIGHMIA-25OCT26,train,6,1.015,1500,0.04833333333333334,87.0,0.06358643338429308,0.08585781764894258,0.06289583333333333,0.13888888888888892,-0.022271384264649502
2025-10-27,KXHIGHMIA-25OCT27,train,6,1.06,60,0.03333333333333333,87.0,0.13967010798623472,0.12845671151782898,0.14153333333333334,0.13888888888888892,0.011213396468405745
2025-10-28,KXHIGHMIA-25OCT28,train,6,2.04,900,0.4766666666666666,89.0,0.13131968473663977,0.1182962319827978,0.15476666666666666,0.13888888888888892,0.013023452753841966
2025-10-29,KXHIGHMIA-25OCT29,train,6,1.04,540,0.03999999999999999,85.0,0.07998181706114395,0.0736900473717177,0.07864166666666665,0.13888888888888892,0.006291769689426241
2025-11-01,KXHIGHMIA-25NOV01,validation,6,1.035,420,0.03833333333333332,79.0,0.1250826545932616,0.14854455780857048,0.1255625,0.13888888888888892,-0.023461903215308888
2025-11-02,KXHIGHMIA-25NOV02,validation,6,0.99,780,0.02666666666666666,82.0,0.09994728429071865,0.10845541000087382,0.10012500000000002,0.13888888888888892,-0.008508125710155162
2025-11-05,KXHIGHMIA-25NOV05,validation,6,1.005,1140,0.034999999999999996,84.0,0.07645850350238854,0.0875784423622949,0.07628750000000001,0.13888888888888892,-0.01111993885990635
2025-11-06,KXHIGHMIA-25NOV06,validation,6,1.195,840,0.18833333333333332,83.0,0.09778657002970302,0.0798403897159041,0.09430416666666668,0.13888888888888892,0.017946180313798923
2025-11-07,KXHIGHMIA-25NOV07,validation,6,1.045,1140,0.031666666666666655,85.0,0.13656586006120128,0.09770450863194452,0.13769583333333332,0.13888888888888892,0.03886135142925676
2025-11-08,KXHIGHMIA-25NOV08,validation,6,1.075,60,0.03833333333333332,88.0,0.07681990265008114,0.11824006152353794,0.0744625,0.13888888888888892,-0.041420158873456805
2025-11-09,KXHIGHMIA-25NOV09,validation,6,1.01,240,0.04666666666666667,87.0,0.0663006894748881,0.08861827020238226,0.06585,0.13888888888888892,-0.022317580727494166
2025-11-10,KXHIGHMIA-25NOV10,validation,6,1.0150000000000001,540,0.035,80.0,0.1806320625753274,0.198129674532021,0.18160416666666665,0.13888888888888892,-0.01749761195669358
2025-11-11,KXHIGHMIA-25NOV11,validation,6,1.08,60,0.03333333333333334,69.0,0.08298325331504343,0.12045855058183462,0.08052500000000001,0.13888888888888892,-0.03747529726679119
2025-11-12,KXHIGHMIA-25NOV12,validation,6,1.065,1140,0.04500000000000001,76.0,0.08952515300462134,0.10226054870278763,0.08794583333333332,0.13888888888888892,-0.012735395698166285
2025-11-13,KXHIGHMIA-25NOV13,validation,6,1.03,240,0.02666666666666666,78.0,0.09466019417475728,0.10566876949351639,0.094125,0.13888888888888892,-0.011008575318759109
2025-11-14,KXHIGHMIA-25NOV14,validation,6,1.035,240,0.041666666666666664,80.0,0.06601476502757746,0.06586680545889997,0.06444583333333333,0.13888888888888892,0.00014795956867748317
2025-11-15,KXHIGHMIA-25NOV15,validation,6,1.0150000000000001,1140,0.055,81.0,0.06564908960016824,0.08853154567867368,0.06497083333333332,0.13888888888888892,-0.022882456078505434
2025-11-16,KXHIGHMIA-25NOV16,validation,6,1.01,240,0.1633333333333333,82.0,0.06905368754697254,0.06727832866154412,0.06854166666666668,0.13888888888888892,0.0017753588854284158
2025-11-17,KXHIGHMIA-25NOV17,validation,6,1.025,60,0.04833333333333333,83.0,0.07219512195121953,0.09348721002772649,0.07124583333333333,0.13888888888888892,-0.021292088076506954
2025-11-18,KXHIGHMIA-25NOV18,validation,6,1.03,900,0.04,84.0,0.07895026235586138,0.0879275694980345,0.07800833333333333,0.13888888888888892,-0.008977307142173124
2025-11-19,KXHIGHMIA-25NOV19,validation,6,1.0250000000000001,180,0.041666666666666664,85.0,0.08247471743010114,0.08963240804045451,0.08171249999999998,0.13888888888888892,-0.007157690610353373
2025-11-20,KXHIGHMIA-25NOV20,validation,6,1.04,840,0.049999999999999996,83.0,0.062708025147929,0.06414766787995874,0.06082499999999999,0.13888888888888892,-0.0014396427320297334
2025-11-21,KXHIGHMIA-25NOV21,validation,6,1.05,300,0.05666666666666667,84.0,0.07394557823129251,0.09436346528122845,0.07219166666666667,0.13888888888888892,-0.02041788704993594
2025-11-22,KXHIGHMIA-25NOV22,validation,6,1.0350000000000001,540,0.041666666666666664,83.0,0.06161170622418261,0.06463392861144045,0.06002083333333333,0.13888888888888892,-0.003022222387257835
2025-11-23,KXHIGHMIA-25NOV23,validation,6,1.02,360,0.036666666666666674,83.0,0.12299756503908753,0.12039109931559627,0.12329999999999998,0.13888888888888892,0.0026064657234912553
2025-11-25,KXHIGHMIA-25NOV25,validation,6,1.02,360,0.046666666666666655,84.0,0.0668172497757273,0.08877366901309143,0.06595,0.13888888888888892,-0.021956419237364133
2025-11-26,KXHIGHMIA-25NOV26,validation,6,1.025,840,0.034999999999999996,85.0,0.06742811818362086,0.08584219251111617,0.06627916666666668,0.13888888888888892,-0.01841407432749531
2025-11-27,KXHIGHMIA-25NOV27,validation,6,1.04,540,0.03666666666666666,84.0,0.11795796351084809,0.08453404180649121,0.11811666666666666,0.13888888888888892,0.033423921704356874
2025-11-28,KXHIGHMIA-25NOV28,validation,6,1.02,600,0.039999999999999994,73.0,0.0823481353325644,0.09876637143970902,0.08174166666666667,0.13888888888888892,-0.01641823610714463
2025-11-29,KXHIGHMIA-25NOV29,validation,6,1.025,420,0.04833333333333333,78.0,0.11053737854451716,0.11391224964215595,0.11040416666666668,0.13888888888888892,-0.0033748710976387875
2025-11-30,KXHIGHMIA-25NOV30,validation,6,1.07,180,0.03666666666666666,82.0,0.10877951495035953,0.13925059492779035,0.10879166666666666,0.13888888888888892,-0.030471079977430815
2025-12-01,KXHIGHMIA-25DEC01,validation,6,1.075,600,0.041666666666666664,82.0,0.08712457184063456,0.10178504322232801,0.08537083333333333,0.13888888888888892,-0.014660471381693449
2025-12-02,KXHIGHMIA-25DEC02,validation,6,1.035,60,0.025000000000000005,85.0,0.13202175079931852,0.09593744870144343,0.13276249999999998,0.13888888888888892,0.036084302097875096
2025-12-03,KXHIGHMIA-25DEC03,validation,6,1.035,60,0.01833333333333333,85.0,0.14550320116377669,0.17225210174728223,0.14667916666666667,0.13888888888888892,-0.02674890058350554
2025-12-04,KXHIGHMIA-25DEC04,validation,6,1.07,60,0.03666666666666667,83.0,0.08800623052959504,0.10161205996613683,0.08617499999999999,0.13888888888888892,-0.013605829436541789
2025-12-05,KXHIGHMIA-25DEC05,validation,6,1.03,300,0.036666666666666674,82.0,0.07006629591227573,0.06656770027306386,0.06883333333333334,0.13888888888888892,0.003498595639211871
2025-12-06,KXHIGHMIA-25DEC06,validation,6,1.01,240,0.03666666666666666,84.0,0.06426657517236874,0.06597185367296012,0.06380833333333334,0.13888888888888892,-0.0017052785005913784
2025-12-07,KXHIGHMIA-25DEC07,validation,6,1.03,60,0.036666666666666674,85.0,0.07642881829892856,0.09525547177703796,0.07538333333333332,0.13888888888888892,-0.018826653478109398
2025-12-08,KXHIGHMIA-25DEC08,validation,6,0.9800000000000001,60,0.029999999999999995,84.0,0.17647160905178394,0.17571322057419003,0.17528333333333337,0.13888888888888892,0.0007583884775939076
2025-12-09,KXHIGHMIA-25DEC09,validation,6,1.06,60,0.016666666666666666,76.0,0.12132134804794115,0.1463533408301059,0.12151666666666668,0.13888888888888892,-0.025031992782164753
2025-12-10,KXHIGHMIA-25DEC10,validation,6,1.01,120,0.036666666666666674,82.0,0.14315589974839069,0.0945933882322551,0.14343333333333333,0.13888888888888892,0.04856251151613558
2025-12-11,KXHIGHMIA-25DEC11,validation,6,1.07,60,0.013333333333333334,75.0,0.07368911404198328,0.070182391989479,0.07059999999999998,0.13888888888888892,0.0035067220525042825
2025-12-12,KXHIGHMIA-25DEC12,validation,6,1.02,60,0.02666666666666667,79.0,0.058743432013328205,0.08387226932718994,0.057749999999999996,0.13888888888888892,-0.025128837313861736
